Date,PC1,PC2
1-01-01,0.63081,-0.70438
1-01-02,0.62020,-0.67546
1-01-03,0.60890,-0.59549
1-01-04,0.59582,-0.45836
1-01-05,0.57993,-0.26051
1-01-06,0.56004,-0.00126
1-01-07,0.53451,0.31686
1-01-08,0.50098,0.68781
1-01-09,0.45623,1.10184
1-01-10,0.39622,1.54533
1-01-11,0.31634,2.00106
1-01-12,0.21196,2.44873
1-01-13,0.07908,2.86596
1-01-14,-0.08496,3.22990
1-01-15,-0.28091,3.51908
1-01-16,-0.50721,3.71547
1-01-17,-0.75994,3.80617
1-01-18,-1.03306,3.78456
1-01-19,-1.31881,3.65055
1-01-20,-1.60813,3.41010
1-01-21,-1.89113,3.07416
1-01-22,-2.15730,2.65734
1-01-23,-2.39581,2.17666
1-01-24,-2.59569,1.65037
1-01-25,-2.74620,1.09709
1-01-26,-2.83719,0.53513
1-01-27,-2.85965,-0.01804
1-01-28,-2.80640,-0.54630
1-01-29,-2.67275,-1.03536
1-01-30,-2.45728,-1.47340
1-01-31,-2.16245,-1.85167
1-02-01,-1.79511,-2.16518
1-02-02,-1.36668,-2.41298
1-02-03,-0.89287,-2.59806
1-02-04,-0.39284,-2.72654
1-02-05,0.11208,-2.80641
1-02-06,0.59999,-2.84600
1-02-07,1.04999,-2.85265
1-02-08,1.44357,-2.83204
1-02-09,1.76561,-2.78800
1-02-10,2.00521,-2.72285
1-02-11,2.15616,-2.63791
1-02-12,2.21733,-2.53391
1-02-13,2.19277,-2.41132
1-02-14,2.09156,-2.27038
1-02-15,1.92725,-2.11107
1-02-16,1.71707,-1.93308
1-02-17,1.48061,-1.73595
1-02-18,1.23832,-1.51945
1-02-19,1.00978,-1.28412
1-02-20,0.81193,-1.03189
1-02-21,0.65746,-0.76649
1-02-22,0.55355,-0.49345
1-02-23,0.50124,-0.21961
1-02-24,0.49552,0.04772
1-02-25,0.52643,0.30172
1-02-26,0.58092,0.53683
1-02-27,0.64504,0.74937
1-02-28,0.70590,0.93771
1-03-01,0.75288,1.10239
1-03-02,0.77800,1.24578
1-03-03,0.77568,1.37160
1-03-04,0.74194,1.48453
1-03-05,0.67487,1.58829
1-03-06,0.57415,1.68554
1-03-07,0.44111,1.77726
1-03-08,0.27904,1.86242
1-03-09,0.09326,1.93780
1-03-10,-0.10883,1.99827
1-03-11,-0.31809,2.03714
1-03-12,-0.52420,2.04686
1-03-13,-0.71645,2.01992
1-03-14,-0.88468,1.94982
1-03-15,-1.02013,1.83213
1-03-16,-1.11630,1.66532
1-03-17,-1.16951,1.45145
1-03-18,-1.17922,1.19634
1-03-19,-1.14802,0.90935
1-03-20,-1.08124,0.60272
1-03-21,-0.98634,0.29050
1-03-22,-0.87203,-0.01257
1-03-23,-0.74730,-0.29234
1-03-24,-0.62045,-0.53633
1-03-25,-0.49830,-0.73455
1-03-26,-0.38563,-0.88011
1-03-27,-0.28495,-0.96939
1-03-28,-0.19661,-1.00204
1-03-29,-0.11922,-0.98070
1-03-30,-0.05026,-0.91058
1-03-31,0.01320,-0.79906
1-04-01,0.07385,-0.65511
1-04-02,0.13353,-0.48878
1-04-03,0.19295,-0.31062
1-04-04,0.25143,-0.13101
1-04-05,0.30690,0.04045
